"Yield","Easting","PassNo","Pair","Product","Northing","Pass","Predicted"
142.30999016112,214,1,1,"E",0.783072959421157,"1",138.748331417795
134.816631390101,214,2,1,"E",6.8630408585656,"2",133.831105968088
133.427917773201,214,3,2,"B",12.9852964518518,"3",147.35312792864
161.481654793547,214,4,2,"B",19.0984345227862,"4",156.59192961809
165.271076641428,214,5,3,"E",25.1816935720809,"5",156.224167972573
158.365568915447,214,6,3,"E",31.3085784454595,"6",162.814345415895
166.495294761056,214,7,4,"B",37.320366207733,"7",172.406061636641
181.416059276517,214,8,4,"B",43.4594654812367,"8",163.548582894404
133.903642716581,214,9,5,"E",49.4976038696288,"9",143.574514573867
134.81774322369,214,10,5,"E",55.6446310137961,"10",141.947900697798
157.191283964691,214,11,6,"B",61.6350571132918,"11",158.707896879549
172.503265011261,214,12,6,"B",67.7339494941491,"12",165.963752151761
165.112451330955,214,13,7,"E",73.7622992709295,"13",160.24552236612
158.903795932606,214,14,7,"E",79.9142402925501,"14",165.438416138686
183.319650297151,214,15,8,"B",86.0080040887833,"15",182.360704431003
186.357485025453,214,16,8,"B",92.093686219178,"16",187.095597908427
176.135437423899,214,17,9,"E",98.1548134744314,"17",178.723507847498
188.849845511496,214,18,9,"E",104.314751055382,"18",180.511728315075
191.304313015102,214,19,10,"B",110.340220433542,"19",192.377561235922
187.465572345687,214,20,10,"B",116.426924809464,"20",191.318755714791
173.793504062,214,21,11,"E",122.447750322627,"21",179.147222214408
190.236566631752,214,22,11,"E",128.540554585316,"22",181.309491013236
193.796227256552,214,23,12,"B",134.522876331975,"23",197.539740899856
203.197339018491,214,24,12,"B",140.681138361472,"24",202.692351239664
